seed,topk,n_estimators,learning_rate,threshold,accuracy,precision,recall,f1,auc
42,top28,90,0.3,0.6750,0.8556,0.5300,0.5581,0.5437,0.8539
42,top28,90,0.3,0.6860,0.8183,0.4731,0.6594,0.5510,0.8425
